CUSTOM.dateTime,OSD.flyTime,OSD.latitude,OSD.longitude,OSD.height,OSD.heightMax,OSD.vpsHeight,OSD.altitude,OSD.xSpeed,OSD.xSpeedMax,OSD.ySpeed,OSD.ySpeedMax,OSD.zSpeed,OSD.zSpeedMax,OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.isGPSUsed,OSD.nonGPSCause,OSD.gpsNum,OSD.gpsLevel,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceleratorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,BATTERY.chargeLevel,BATTERY.voltage,BATTERY.current,BATTERY.currentCapacity,BATTERY.fullCapacity,BATTERY.cellNum,BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1,BATTERY.cellVoltage2,BATTERY.cellVoltage3,BATTERY.cellVoltage4,BATTERY.cellVoltageDeviation,BATTERY.maxCellVoltageDeviation,BATTERY.temperature,BATTERY.minTemperature,BATTERY.maxTemperature,HOME.latitude,HOME.longitude,HOME.altitude,HOME.heightLimit,HOME.isHomeRecord,HOME.goHomeMode,HOME.isDynamicHomePointEnabled,HOME.isNearDistanceLimit,HOME.isNearHeightLimit,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.IOCMode,HOME.goHomeHeight,HOME.IOCCourseLockAngle,HOME.maxAllowedHeight,HOME.currentFlightRecordIndex,RECOVER.appPlatform,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,APP.tip,APP.warn,DETAILS.totalTime,DETAILS.totalDistance,DETAILS.maxHeight,DETAILS.maxHorizontalSpeed,DETAILS.maxVerticalSpeed,DETAILS.photoNum,DETAILS.videoTime,DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.appPlatform,DETAILS.appVersion
2025-03-18T23:51:58.484Z,0.1,-43.6234835687564,172.37911346154777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,,90,1024,1024,1024,1024,97,17.221,1.708,4665,4813,4,false,4.311,4.299,4.302,4.308,0.012,0.012,18.8,18.8,18.8,0.0,0.0,0.0,0.0,false,,false,false,false,false,,false,false,false,,0,,0.0,0,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,Flight mode changed to EngineStart.; Your aircraft is flying in an Altitude Zone (500m). Please fly with caution.,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:58.686Z,0.3,-43.62348356780344,172.37911346327118,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,97,17.221,1.708,4665,4813,4,false,4.311,4.299,4.302,4.308,0.012,0.012,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:58.888Z,0.5,-43.62348357468481,172.3791134856219,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.221,1.708,4665,4813,4,false,4.311,4.299,4.302,4.308,0.012,0.012,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:59.192Z,0.7,-43.623483583543646,172.3791134983071,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.221,1.708,4665,4813,4,false,4.311,4.299,4.302,4.308,0.012,0.012,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:59.293Z,0.9,-43.623483598154216,172.37911350194358,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.221,1.708,4665,4813,4,false,4.311,4.299,4.302,4.308,0.012,0.012,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:59.496Z,1.1,-43.62348360153325,172.37911351568394,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,97,17.06,2.935,4664,4813,4,false,4.259,4.245,4.247,4.251,0.014,0.014,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:59.699Z,1.3,-43.623483598744606,172.37911351430492,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,EngineStart,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,0,90,1024,1024,1024,1024,97,17.06,2.935,4664,4813,4,false,4.259,4.245,4.247,4.251,0.014,0.014,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:51:59.902Z,1.5,-43.62348360533469,172.37911352219288,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-0.2,129.7,AutoTakeoff,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.06,2.935,4664,4813,4,false,4.259,4.245,4.247,4.251,0.014,0.014,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,Flight mode changed to AutoTakeoff.,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:52:00.206Z,1.7,-43.623483608420976,172.3791135500323,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-0.2,129.7,AutoTakeoff,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.06,2.935,4664,4813,4,false,4.259,4.245,4.247,4.251,0.014,0.014,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
2025-03-18T23:52:00.307Z,1.9,-43.623483617000105,172.3791135707041,0.0,0.0,0.0,-35.03445,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-0.2,130.2,AutoTakeoff,,None,true,Already,31,5,Mavic3Enterprise,true,false,Standby,Smart,true,true,false,None,true,MonitorError,false,false,false,false,false,false,false,false,false,false,0,YawFollow,0.0,0.0,129.5,false,false,false,false,false,false,true,Normal,90,90,1024,1024,1024,1024,97,17.06,2.935,4664,4813,4,false,4.259,4.245,4.247,4.251,0.014,0.014,18.8,18.8,18.8,-43.62348356483291,172.3791134702037,-35.03445,100.0,true,FixedHeight,false,false,false,false,,true,false,false,,40,,100.0,203,DJIFly,10.1.8,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,4ERKM8F6G61LA5,,,290.2,1.7236191,50.0,15.307515,6.3,124,0,GO3403,1581F5FHD231900C,493OKC18AA001G,5YSZL130021B4X,DJIFly,10.1.8
